service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
125-A-Weekday-50,1,1,1,1,1,0,0,20180122,20180615
125-A-Weekday-50-SDon,1,1,1,1,1,0,0,20180122,20180615
125-A-Weekday-50-SDon-1110100,1,1,1,0,1,0,0,20180122,20180615
125-A-Weekday-50-SDon-0101000,0,1,0,1,0,0,0,20180122,20180615
125-A-Saturday-50,0,0,0,0,0,1,0,20180127,20180616
125-A-Sunday-50,0,0,0,0,0,0,1,20180121,20180610
125-C-Weekday-50,1,1,1,1,1,0,0,20180122,20180615
125-C-Weekday-50-SDon,1,1,1,1,1,0,0,20180122,20180615
125-C-Weekday-50-SDon-0010000,0,0,1,0,0,0,0,20180122,20180615
125-C-Weekday-50-SDon-1110100,1,1,1,0,1,0,0,20180122,20180615
125-C-Weekday-50-SDon-0011000,0,0,1,1,0,0,0,20180122,20180615
125-C-Weekday-50-SDon-1101100,1,1,0,1,1,0,0,20180122,20180615
125-C-Weekday-50-SDon-0100000,0,1,0,0,0,0,0,20180122,20180615
125-C-Weekday-50-SDon-1100100,1,1,0,0,1,0,0,20180122,20180615
125-C-Weekday-50-SDon-1011100,1,0,1,1,1,0,0,20180122,20180615
125-C-Saturday-50,0,0,0,0,0,1,0,20180127,20180616
125-C-Sunday-50,0,0,0,0,0,0,1,20180121,20180610
125-D-Weekday-50,1,1,1,1,1,0,0,20180122,20180615
125-D-Weekday-50-SDon,1,1,1,1,1,0,0,20180122,20180615
125-D-Weekday-50-SDoff,1,1,1,1,1,0,0,20180122,20180615
125-D-Weekday-50-SDon-1110100,1,1,1,0,1,0,0,20180122,20180615
125-D-Weekday-50-SDon-1101100,1,1,0,1,1,0,0,20180122,20180615
125-D-Weekday-50-SDon-0001000,0,0,0,1,0,0,0,20180122,20180615
125-D-Weekday-50-SDon-0010000,0,0,1,0,0,0,0,20180122,20180615
125-D-Weekday-50-SDon-0011000,0,0,1,1,0,0,0,20180122,20180615
125-D-Weekday-50-SDon-1100100,1,1,0,0,1,0,0,20180122,20180615
125-D-Weekday-50-SDon-1011100,1,0,1,1,1,0,0,20180122,20180615
125-D-Weekday-50-SDon-0100000,0,1,0,0,0,0,0,20180122,20180615
125-D-Saturday-50,0,0,0,0,0,1,0,20180127,20180616
125-D-Sunday-50,0,0,0,0,0,0,1,20180121,20180610
