service_id,date,exception_type
125-A-Weekday-50,20180528,2
125-A-Weekday-50-SDon,20180528,2
125-A-Weekday-50-SDon-1110100,20180528,2
125-A-Weekday-50-SDon-0101000,20180528,2
125-A-Weekday-50-SDon,20180219,2
125-A-Weekday-50-SDon-1110100,20180219,2
125-A-Weekday-50-SDon-0101000,20180219,2
125-A-Sunday-50,20180528,1
125-C-Weekday-50,20180528,2
125-C-Weekday-50-SDon,20180528,2
125-C-Weekday-50-SDon-0010000,20180528,2
125-C-Weekday-50-SDon-1110100,20180528,2
125-C-Weekday-50-SDon-0011000,20180528,2
125-C-Weekday-50-SDon-1101100,20180528,2
125-C-Weekday-50-SDon-0100000,20180528,2
125-C-Weekday-50-SDon-1100100,20180528,2
125-C-Weekday-50-SDon-1011100,20180528,2
125-C-Weekday-50-SDon,20180219,2
125-C-Weekday-50-SDon-0010000,20180219,2
125-C-Weekday-50-SDon-1110100,20180219,2
125-C-Weekday-50-SDon-0011000,20180219,2
125-C-Weekday-50-SDon-1101100,20180219,2
125-C-Weekday-50-SDon-0100000,20180219,2
125-C-Weekday-50-SDon-1100100,20180219,2
125-C-Weekday-50-SDon-1011100,20180219,2
125-C-Sunday-50,20180528,1
125-D-Weekday-50,20180528,2
125-D-Weekday-50-SDon-1110100,20180528,2
125-D-Weekday-50-SDon,20180528,2
125-D-Weekday-50-SDon-1101100,20180528,2
125-D-Weekday-50-SDon-0001000,20180528,2
125-D-Weekday-50-SDoff,20180528,2
125-D-Weekday-50-SDon-0010000,20180528,2
125-D-Weekday-50-SDon-0011000,20180528,2
125-D-Weekday-50-SDon-1100100,20180528,2
125-D-Weekday-50-SDon-1011100,20180528,2
125-D-Weekday-50-SDon-0100000,20180528,2
125-D-Weekday-50-SDoff,20180122,2
125-D-Weekday-50-SDoff,20180123,2
125-D-Weekday-50-SDoff,20180124,2
125-D-Weekday-50-SDoff,20180125,2
125-D-Weekday-50-SDoff,20180126,2
125-D-Weekday-50-SDoff,20180129,2
125-D-Weekday-50-SDoff,20180130,2
125-D-Weekday-50-SDoff,20180131,2
125-D-Weekday-50-SDoff,20180201,2
125-D-Weekday-50-SDoff,20180202,2
125-D-Weekday-50-SDoff,20180205,2
125-D-Weekday-50-SDoff,20180206,2
125-D-Weekday-50-SDoff,20180207,2
125-D-Weekday-50-SDoff,20180208,2
125-D-Weekday-50-SDoff,20180209,2
125-D-Weekday-50-SDoff,20180212,2
125-D-Weekday-50-SDoff,20180213,2
125-D-Weekday-50-SDoff,20180214,2
125-D-Weekday-50-SDoff,20180215,2
125-D-Weekday-50-SDoff,20180216,2
125-D-Weekday-50-SDon-1110100,20180219,2
125-D-Weekday-50-SDon,20180219,2
125-D-Weekday-50-SDon-1101100,20180219,2
125-D-Weekday-50-SDon-0001000,20180219,2
125-D-Weekday-50-SDon-0010000,20180219,2
125-D-Weekday-50-SDon-0011000,20180219,2
125-D-Weekday-50-SDon-1100100,20180219,2
125-D-Weekday-50-SDon-1011100,20180219,2
125-D-Weekday-50-SDon-0100000,20180219,2
125-D-Weekday-50-SDoff,20180220,2
125-D-Weekday-50-SDoff,20180221,2
125-D-Weekday-50-SDoff,20180222,2
125-D-Weekday-50-SDoff,20180223,2
125-D-Weekday-50-SDoff,20180226,2
125-D-Weekday-50-SDoff,20180227,2
125-D-Weekday-50-SDoff,20180228,2
125-D-Weekday-50-SDoff,20180301,2
125-D-Weekday-50-SDoff,20180302,2
125-D-Weekday-50-SDoff,20180305,2
125-D-Weekday-50-SDoff,20180306,2
125-D-Weekday-50-SDoff,20180307,2
125-D-Weekday-50-SDoff,20180308,2
125-D-Weekday-50-SDoff,20180309,2
125-D-Weekday-50-SDoff,20180312,2
125-D-Weekday-50-SDoff,20180313,2
125-D-Weekday-50-SDoff,20180314,2
125-D-Weekday-50-SDoff,20180315,2
125-D-Weekday-50-SDoff,20180316,2
125-D-Weekday-50-SDoff,20180319,2
125-D-Weekday-50-SDoff,20180320,2
125-D-Weekday-50-SDoff,20180321,2
125-D-Weekday-50-SDoff,20180322,2
125-D-Weekday-50-SDoff,20180323,2
125-D-Weekday-50-SDoff,20180326,2
125-D-Weekday-50-SDoff,20180327,2
125-D-Weekday-50-SDoff,20180328,2
125-D-Weekday-50-SDoff,20180329,2
125-D-Weekday-50-SDoff,20180330,2
125-D-Weekday-50-SDoff,20180402,2
125-D-Weekday-50-SDoff,20180403,2
125-D-Weekday-50-SDoff,20180404,2
125-D-Weekday-50-SDoff,20180405,2
125-D-Weekday-50-SDoff,20180406,2
125-D-Weekday-50-SDoff,20180409,2
125-D-Weekday-50-SDoff,20180410,2
125-D-Weekday-50-SDoff,20180411,2
125-D-Weekday-50-SDoff,20180412,2
125-D-Weekday-50-SDoff,20180413,2
125-D-Weekday-50-SDoff,20180416,2
125-D-Weekday-50-SDoff,20180417,2
125-D-Weekday-50-SDoff,20180418,2
125-D-Weekday-50-SDoff,20180419,2
125-D-Weekday-50-SDoff,20180420,2
125-D-Weekday-50-SDoff,20180423,2
125-D-Weekday-50-SDoff,20180424,2
125-D-Weekday-50-SDoff,20180425,2
125-D-Weekday-50-SDoff,20180426,2
125-D-Weekday-50-SDoff,20180427,2
125-D-Weekday-50-SDoff,20180430,2
125-D-Weekday-50-SDoff,20180501,2
125-D-Weekday-50-SDoff,20180502,2
125-D-Weekday-50-SDoff,20180503,2
125-D-Weekday-50-SDoff,20180504,2
125-D-Weekday-50-SDoff,20180507,2
125-D-Weekday-50-SDoff,20180508,2
125-D-Weekday-50-SDoff,20180509,2
125-D-Weekday-50-SDoff,20180510,2
125-D-Weekday-50-SDoff,20180511,2
125-D-Weekday-50-SDoff,20180514,2
125-D-Weekday-50-SDoff,20180515,2
125-D-Weekday-50-SDoff,20180516,2
125-D-Weekday-50-SDoff,20180517,2
125-D-Weekday-50-SDoff,20180518,2
125-D-Weekday-50-SDoff,20180521,2
125-D-Weekday-50-SDoff,20180522,2
125-D-Weekday-50-SDoff,20180523,2
125-D-Weekday-50-SDoff,20180524,2
125-D-Weekday-50-SDoff,20180525,2
125-D-Weekday-50-SDoff,20180529,2
125-D-Weekday-50-SDoff,20180530,2
125-D-Weekday-50-SDoff,20180531,2
125-D-Weekday-50-SDoff,20180601,2
125-D-Weekday-50-SDoff,20180604,2
125-D-Weekday-50-SDoff,20180605,2
125-D-Weekday-50-SDoff,20180606,2
125-D-Weekday-50-SDoff,20180607,2
125-D-Weekday-50-SDoff,20180608,2
125-D-Weekday-50-SDoff,20180611,2
125-D-Weekday-50-SDoff,20180612,2
125-D-Weekday-50-SDoff,20180613,2
125-D-Weekday-50-SDoff,20180614,2
125-D-Weekday-50-SDoff,20180615,2
125-D-Sunday-50,20180528,1
