trip_id,direction_id,Direction,realtime_directioncode
9898121-125-A-Weekday-50,0,North,171012
9898133-125-A-Weekday-50,1,South,171027
9898142-125-A-Weekday-50,0,Clockwise,2201001
9898193-125-A-Weekday-50-SDon,0,North,181006
9898194-125-A-Weekday-50-SDon,1,South,181009
9898216-125-A-Weekday-50,1,Counterclockwise,2521002
9898235-125-A-Saturday-50,0,North,176002
9898243-125-A-Saturday-50,1,South,176001
9898265-125-A-Sunday-50,0,North,177002
9898273-125-A-Sunday-50,1,South,177001
9920975-125-C-Weekday-50,1,South,2921067
9920976-125-C-Weekday-50,0,North,2041006
9920978-125-C-Weekday-50,1,South,1221057
9920979-125-C-Weekday-50,0,North,2921040
9920983-125-C-Weekday-50,1,South,2041007
9920986-125-C-Weekday-50-SDon,0,East,781002
9920987-125-C-Weekday-50-SDon,1,West,601005
9920989-125-C-Weekday-50,0,North,1221072
9920990-125-C-Weekday-50,1,South,2961021
9920991-125-C-Weekday-50,0,North,2961040
9921022-125-C-Weekday-50-SDon,1,West,841001
9921040-125-C-Weekday-50-SDon-1110100,1,West,571001
9921047-125-C-Weekday-50-SDon-0011000,0,East,2863008
9921049-125-C-Weekday-50-SDon-0011000,0,East,821002
9921070-125-C-Weekday-50-SDon,0,East,591002
9921075-125-C-Weekday-50-SDon-1110100,1,West,591003
9921118-125-C-Weekday-50-SDon-1101100,0,East,671014
9921125-125-C-Weekday-50-SDon-0010000,1,West,291001
9921160-125-C-Weekday-50-SDon,0,East,541002
9921177-125-C-Weekday-50-SDon-0010000,1,South,611003
9921178-125-C-Weekday-50-SDon-0100000,1,South,461003
9921180-125-C-Weekday-50-SDon-1100100,0,East,831008
9921181-125-C-Weekday-50-SDon-0010000,0,East,681006
9921221-125-C-Weekday-50-SDon,0,East,601010
9921223-125-C-Weekday-50-SDon-1101100,1,South,191003
9921224-125-C-Weekday-50-SDon,1,West,671001
9921225-125-C-Weekday-50-SDon-1101100,1,West,871005
9921238-125-C-Weekday-50-SDon,0,Clockwise,141012
9921245-125-C-Weekday-50-SDon,0,North,161002
9921246-125-C-Weekday-50-SDon,1,West,791004
9921274-125-C-Weekday-50-SDon-0010000,0,North,551002
9921298-125-C-Weekday-50,1,South,3971003
9921299-125-C-Weekday-50,1,South,4001143
9921308-125-C-Weekday-50,0,North,4001142
9921311-125-C-Weekday-50,0,North,3971006
9921314-125-C-Weekday-50,1,South,3991003
9921321-125-C-Weekday-50,0,North,3991002
9921351-125-C-Weekday-50,0,North,1301002
9919625-125-C-Saturday-50,1,South,1226001
9919626-125-C-Saturday-50,0,North,1226002
9919682-125-C-Saturday-50,1,South,2926047
9919683-125-C-Saturday-50,0,North,2926050
9919702-125-C-Saturday-50,0,North,3996006
9919703-125-C-Saturday-50,1,South,3996009
9919706-125-C-Saturday-50,1,West,2946001
9919754-125-C-Saturday-50,0,North,4006002
9919756-125-C-Saturday-50,1,South,4006097
9919772-125-C-Saturday-50,0,North,2966002
9919775-125-C-Saturday-50,1,South,2966001
9919836-125-C-Saturday-50,1,West,2786001
9919837-125-C-Saturday-50,0,East,2786002
9919851-125-C-Saturday-50,1,South,3976007
9919852-125-C-Saturday-50,0,North,3976002
9920116-125-C-Saturday-50,0,East,2946002
9918672-125-C-Sunday-50,0,North,4007112
9918676-125-C-Sunday-50,1,South,4007099
9918677-125-C-Sunday-50,1,South,3997011
9918682-125-C-Sunday-50,0,North,3997004
9918687-125-C-Sunday-50,0,North,292708
9918688-125-C-Sunday-50,1,South,292747
9918704-125-C-Sunday-50,0,North,3977004
9918715-125-C-Sunday-50,1,South,3977005
9918767-125-C-Sunday-50,0,North,1227014
9918768-125-C-Sunday-50,1,South,1227015
9918824-125-C-Sunday-50,1,West,2947001
9918825-125-C-Sunday-50,0,North,2967028
9918827-125-C-Sunday-50,1,South,2967033
9919125-125-C-Sunday-50,0,East,2947002
9913257-125-D-Weekday-50,0,East,2561002
9913259-125-D-Weekday-50,1,West,2561005
9913260-125-D-Weekday-50,1,West,2941011
9913261-125-D-Weekday-50,0,East,2941012
9913265-125-D-Weekday-50-SDon-1110100,1,West,591001
9913266-125-D-Weekday-50,0,North,1201062
9913267-125-D-Weekday-50,1,South,1201065
9913273-125-D-Weekday-50,1,West,1411013
9913274-125-D-Weekday-50,0,East,1411008
9913295-125-D-Weekday-50,0,North,1101018
9913296-125-D-Weekday-50,1,South,1101021
9913297-125-D-Weekday-50,0,North,1121018
9913303-125-D-Weekday-50-SDon,0,North,611006
9913304-125-D-Weekday-50,1,South,4001009
9913305-125-D-Weekday-50,0,North,4001034
9913313-125-D-Weekday-50,1,South,1211001
9913314-125-D-Weekday-50,0,North,1211006
9913319-125-D-Weekday-50,0,North,1301006
9913320-125-D-Weekday-50,1,South,1301007
9913327-125-D-Weekday-50-SDon-1101100,1,West,601003
9913344-125-D-Weekday-50-SDon,1,West,531003
9913345-125-D-Weekday-50-SDon-0001000,1,West,571003
9913346-125-D-Weekday-50,1,West,1401013
9913347-125-D-Weekday-50,0,East,1401014
9913377-125-D-Weekday-50-SDon,0,Clockwise,141004
9913378-125-D-Weekday-50-SDon,0,East,351006
9913391-125-D-Weekday-50-SDon,1,South,161003
9913392-125-D-Weekday-50-SDon,1,South,391001
9913393-125-D-Weekday-50,1,South,3981011
9913394-125-D-Weekday-50,0,North,3981008
