route_id,realtime_enabled,realtime_routename,realtime_routecode
14-158,1,,
16-158,1,,
17-158,1,,
18-158,1,,
19-158,1,,
24-158,1,,
25-158,1,,
28-158,1,,
29-158,1,,
35-158,1,,
37-158,1,,
38-158,1,,
39-158,1,,
46-158,1,,
49-158,1,,
53-158,1,,
54-158,1,,
55-158,1,,
56-158,1,,
57-158,1,,
58-158,1,,
59-158,1,,
60-158,1,,
61-158,1,,
62-158,1,,
67-158,1,,
68-158,1,,
72-158,1,,
73-158,1,,
78-158,1,,
79-158,1,,
80-158,1,,
81-158,1,,
82-158,1,,
83-158,1,,
84-158,1,,
85-158,1,,
87-158,1,,
88-158,1,,
95-158,1,,
110-158,1,,
112-158,1,,
118-158,1,,
120-158,1,,
121-158,1,,
122-158,1,,
130-158,1,,
140-158,1,,
141-158,1,,
250-158,1,,
251-158,1,,
256-158,1,,
260-158,1,,
270-158,1,,
274-158,1,,
275-158,1,,
276-158,1,,
278-158,1,,
280-158,1,,
281-158,1,,
286-158,1,,
292-158,1,,
294-158,1,,
295-158,1,,
296-158,1,,
397-158,1,,
398-158,1,,
399-158,1,,
ECR-158,1,,
FLXP-158,1,,
KX-158,1,,
SMCS-158,1,,
