trip_id,realtime_trip_id
9898121-125-A-Weekday-50,171012
9898122-125-A-Weekday-50,171010
9898123-125-A-Weekday-50,171008
9898124-125-A-Weekday-50,171002
9898125-125-A-Weekday-50,171006
9898126-125-A-Weekday-50,171014
9898127-125-A-Weekday-50,171004
9898128-125-A-Weekday-50,171022
9898129-125-A-Weekday-50,171030
9898130-125-A-Weekday-50,171032
9898131-125-A-Weekday-50,171016
9898132-125-A-Weekday-50,171026
9898133-125-A-Weekday-50,171027
9898134-125-A-Weekday-50,171031
9898135-125-A-Weekday-50,171025
9898136-125-A-Weekday-50,171029
9898137-125-A-Weekday-50,171015
9898138-125-A-Weekday-50,171019
9898139-125-A-Weekday-50,171021
9898140-125-A-Weekday-50,171023
9898141-125-A-Weekday-50,171017
9898142-125-A-Weekday-50,2201001
9898143-125-A-Weekday-50,2201003
9898144-125-A-Weekday-50,2201005
9898145-125-A-Weekday-50,2201007
9898146-125-A-Weekday-50,2201009
9898147-125-A-Weekday-50,2201011
9898148-125-A-Weekday-50,2201013
9898149-125-A-Weekday-50,2201015
9898150-125-A-Weekday-50,2201017
9898151-125-A-Weekday-50,2201019
9898152-125-A-Weekday-50,2201021
9898153-125-A-Weekday-50,2201023
9898154-125-A-Weekday-50,2201025
9898155-125-A-Weekday-50,2201027
9898156-125-A-Weekday-50,2201029
9898157-125-A-Weekday-50,2201031
9898158-125-A-Weekday-50,171020
9898159-125-A-Weekday-50,171024
9898160-125-A-Weekday-50,171028
9898161-125-A-Weekday-50,171018
9898162-125-A-Weekday-50,171013
9898163-125-A-Weekday-50,171011
9898164-125-A-Weekday-50,171009
9898165-125-A-Weekday-50,171003
9898166-125-A-Weekday-50,171001
9898167-125-A-Weekday-50,171007
9898168-125-A-Weekday-50,171005
9898193-125-A-Weekday-50-SDon,181006
9898194-125-A-Weekday-50-SDon,181009
9898195-125-A-Weekday-50-SDon,181011
9898196-125-A-Weekday-50-SDon,181008
9898197-125-A-Weekday-50-SDon,181005
9898198-125-A-Weekday-50-SDon,181001
9898199-125-A-Weekday-50-SDon,181004
9898200-125-A-Weekday-50-SDon,181002
9898207-125-A-Weekday-50-SDon-1110100,181003
9898216-125-A-Weekday-50,2521002
9898217-125-A-Weekday-50,2521004
9898218-125-A-Weekday-50,2521006
9898219-125-A-Weekday-50,2521008
9898220-125-A-Weekday-50,2521010
9898221-125-A-Weekday-50,2521012
9898222-125-A-Weekday-50,2521014
9898223-125-A-Weekday-50,2521016
9898225-125-A-Weekday-50-SDon-0101000,184007
9898235-125-A-Saturday-50,176002
9898236-125-A-Saturday-50,176004
9898237-125-A-Saturday-50,176006
9898238-125-A-Saturday-50,176008
9898239-125-A-Saturday-50,176010
9898240-125-A-Saturday-50,176012
9898241-125-A-Saturday-50,176014
9898242-125-A-Saturday-50,176016
9898243-125-A-Saturday-50,176001
9898244-125-A-Saturday-50,176003
9898245-125-A-Saturday-50,176005
9898246-125-A-Saturday-50,176007
9898247-125-A-Saturday-50,176009
9898248-125-A-Saturday-50,176011
9898249-125-A-Saturday-50,176013
9898250-125-A-Saturday-50,176015
9898265-125-A-Sunday-50,177002
9898266-125-A-Sunday-50,177004
9898267-125-A-Sunday-50,177006
9898268-125-A-Sunday-50,177008
9898269-125-A-Sunday-50,177010
9898270-125-A-Sunday-50,177012
9898271-125-A-Sunday-50,177014
9898272-125-A-Sunday-50,177016
9898273-125-A-Sunday-50,177001
9898274-125-A-Sunday-50,177003
9898275-125-A-Sunday-50,177005
9898276-125-A-Sunday-50,177007
9898277-125-A-Sunday-50,177009
9898278-125-A-Sunday-50,177011
9898279-125-A-Sunday-50,177013
9898280-125-A-Sunday-50,177015
9920975-125-C-Weekday-50,2921067
9920976-125-C-Weekday-50,2041006
9920977-125-C-Weekday-50,2921027
9920978-125-C-Weekday-50,1221057
9920979-125-C-Weekday-50,2921040
9920980-125-C-Weekday-50,2921047
9920981-125-C-Weekday-50,2921007
9920982-125-C-Weekday-50,2921066
9920983-125-C-Weekday-50,2041007
9920984-125-C-Weekday-50,2921025
9920985-125-C-Weekday-50,2921016
9920986-125-C-Weekday-50-SDon,781002
9920987-125-C-Weekday-50-SDon,601005
9920988-125-C-Weekday-50-SDon,781004
9920989-125-C-Weekday-50,1221072
9920990-125-C-Weekday-50,2961021
9920991-125-C-Weekday-50,2961040
9920992-125-C-Weekday-50,2961037
9920993-125-C-Weekday-50,2961056
9920994-125-C-Weekday-50,2961053
9920995-125-C-Weekday-50,2961072
9920996-125-C-Weekday-50,2961069
9920997-125-C-Weekday-50,2961090
9920998-125-C-Weekday-50,2961089
9920999-125-C-Weekday-50,2961106
9921000-125-C-Weekday-50,2961105
9921001-125-C-Weekday-50,2961116
9921002-125-C-Weekday-50-SDon-0010000,601011
9921003-125-C-Weekday-50,1221068
9921004-125-C-Weekday-50,1221069
9921005-125-C-Weekday-50,2961009
9921006-125-C-Weekday-50,2961028
9921007-125-C-Weekday-50,2961025
9921008-125-C-Weekday-50,2961044
9921009-125-C-Weekday-50,2961041
9921010-125-C-Weekday-50,2961060
9921011-125-C-Weekday-50,2961057
9921012-125-C-Weekday-50,2961076
9921013-125-C-Weekday-50,2961073
9921014-125-C-Weekday-50,2961094
9921015-125-C-Weekday-50,2961093
9921016-125-C-Weekday-50,2961108
9921017-125-C-Weekday-50,2961107
9921018-125-C-Weekday-50,1221054
9921019-125-C-Weekday-50,2961118
9921020-125-C-Weekday-50,1221041
9921021-125-C-Weekday-50,1221061
9921022-125-C-Weekday-50-SDon,841001
9921023-125-C-Weekday-50,2921038
9921024-125-C-Weekday-50,2961019
