route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id
17-158,125-A-Weekday-50,9898121-125-A-Weekday-50,"Linda Mar Park & Ride",171012,0,,170521
17-158,125-A-Weekday-50,9898122-125-A-Weekday-50,"Linda Mar Park & Ride",171010,0,,170520
17-158,125-A-Weekday-50,9898123-125-A-Weekday-50,"Linda Mar Park & Ride",171008,0,,170521
17-158,125-A-Weekday-50,9898124-125-A-Weekday-50,"Linda Mar Park & Ride",171002,0,,170522
17-158,125-A-Weekday-50,9898125-125-A-Weekday-50,"Linda Mar Park & Ride",171006,0,,170523
17-158,125-A-Weekday-50,9898126-125-A-Weekday-50,"Linda Mar Park & Ride",171014,0,,170520
17-158,125-A-Weekday-50,9898127-125-A-Weekday-50,"Linda Mar Park & Ride",171004,0,,170521
17-158,125-A-Weekday-50,9898128-125-A-Weekday-50,"Linda Mar Park & Ride",171022,0,,170515
17-158,125-A-Weekday-50,9898129-125-A-Weekday-50,"Linda Mar Park & Ride",171030,0,,170524
17-158,125-A-Weekday-50,9898130-125-A-Weekday-50,"Linda Mar Park & Ride",171032,0,,170516
17-158,125-A-Weekday-50,9898131-125-A-Weekday-50,"Linda Mar Park & Ride",171016,0,,170516
17-158,125-A-Weekday-50,9898132-125-A-Weekday-50,"Linda Mar Park & Ride",171026,0,,170515
17-158,125-A-Weekday-50,9898133-125-A-Weekday-50,"Moonridge Apts",171027,1,,170517
17-158,125-A-Weekday-50,9898134-125-A-Weekday-50,"Moonridge Apts",171031,1,,170517
17-158,125-A-Weekday-50,9898135-125-A-Weekday-50,"Pescadero",171025,1,,170519
17-158,125-A-Weekday-50,9898136-125-A-Weekday-50,"Moonridge Apts",171029,1,,170517
17-158,125-A-Weekday-50,9898137-125-A-Weekday-50,"Moonridge Apts",171015,1,,170518
17-158,125-A-Weekday-50,9898138-125-A-Weekday-50,"Moonridge Apts",171019,1,,170518
17-158,125-A-Weekday-50,9898139-125-A-Weekday-50,"Moonridge Apts",171021,1,,170517
17-158,125-A-Weekday-50,9898140-125-A-Weekday-50,"Moonridge Apts",171023,1,,170518
17-158,125-A-Weekday-50,9898141-125-A-Weekday-50,"Moonridge Apts",171017,1,,170517
FLXP-158,125-A-Weekday-50,9898142-125-A-Weekday-50,"Pacifica",2201001,0,,FLXP0055
FLXP-158,125-A-Weekday-50,9898143-125-A-Weekday-50,"Pacifica",2201003,0,,FLXP0055
FLXP-158,125-A-Weekday-50,9898144-125-A-Weekday-50,"Pacifica",2201005,0,,FLXP0055
FLXP-158,125-A-Weekday-50,9898145-125-A-Weekday-50,"Pacifica",2201007,0,,FLXP0055
FLXP-158,125-A-Weekday-50,9898146-125-A-Weekday-50,"Pacifica",2201009,0,,FLXP0055
FLXP-158,125-A-Weekday-50,9898147-125-A-Weekday-50,"Pacifica",2201011,0,,FLXP0055
FLXP-158,125-A-Weekday-50,9898148-125-A-Weekday-50,"Pacifica",2201013,0,,FLXP0055
FLXP-158,125-A-Weekday-50,9898149-125-A-Weekday-50,"Pacifica",2201015,0,,FLXP0055
FLXP-158,125-A-Weekday-50,9898150-125-A-Weekday-50,"Pacifica",2201017,0,,FLXP0055
FLXP-158,125-A-Weekday-50,9898151-125-A-Weekday-50,"Pacifica",2201019,0,,FLXP0055
FLXP-158,125-A-Weekday-50,9898152-125-A-Weekday-50,"Pacifica",2201021,0,,FLXP0055
